id,name,description,website,address,city,country,latitude,longitude,banner_url,opening_hours,owner_id,created_at,updated_at
1a5d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4be5,Titanic (Pitbull Vienna),"Historic gay club established in 1982, especially popular with bears, leather lovers, and butch aesthetics. Underground club specializing in masculine-themed parties with bold, unapologetic atmosphere and body-positive environment.",https://titanic.at,Theobaldgasse 11,Vienna,Austria,48.1956,16.3545,,,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
1a6d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4be6,Mango Bar,"Popular gay bar in Naschmarkt district, operating since 1981. Known for regular events, drink specials, young lively crowd, private outdoor space, and designated smoking area. Hosts themed nights and DJ events.",,Laimgrubengasse 3,Vienna,Austria,48.1985,16.3598,,,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
1a8d6bcd-bbfd-4b2d-9b5d-ab8dfbbd4be8,Rosa Lila Villa,"Iconic LGBTQ+ community center and cornerstone for lesbian visibility since 1982. Historic painted building serving as cultural and political hub for queer activism, safe spaces, and community events. Houses multiple organizations including Villa Vida café.",https://dievilla.at,Linke Wienzeile 102,Vienna,Austria,48.1956,16.3556,,,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
6c9e4501-bf18-44a1-9bb1-169c5880824b,Vorspiel,"Cozy and intimate LGBTQ+ cocktail bar in Vienna's Neubau district. Known for friendly atmosphere, creative drink menu, and perfect spot for relaxed evenings or casual date nights.",,"Kaiserstraße 57, 1070 Wien",Vienna,Austria,48.205,16.35,,,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
0227fc89-a967-43e5-b33d-1889301572cd,Augenblick,"LGBT-friendly café-bar with mixed clientele in a traditional historical 19th-century building. Run by former Cheri owners, features beautiful terrace, game evenings, and vernissages.",https://www.augenblick-1070.at,"Schottenfeldgasse 92, 1070 Wien",Vienna,Austria,48.202,16.348,,"Mon-Sat 15:00-24:00, Sun closed",,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
0e65cf62-c181-496c-bfd0-c54bf3935cff,Café Rifugio,"Small friendly gay café bar beloved by Vienna's mature local crowd. Features warm atmosphere, delicious affordable wine, and daily happy hour with specially priced drink of the day.",https://www.cafe-rifugio.at,"Schönbrunner Straße 10, 1050 Wien",Vienna,Austria,48.192,16.358,,"Daily 10:00-22:00, Happy Hour 15:00-20:00",,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
3bef74ca-5467-4e62-a01e-cb30e979ca55,The Hive,"Renovated and redesigned successor to Red Carpet bar. Largest queer pub in the district featuring dance floor in cellar, brand-new outdoor area, coffees, cocktails, and Austrian cuisine until 21:00.",https://www.the-hive.at,"Magdalenenstraße 2, 1060 Wien",Vienna,Austria,48.1985,16.3545,,"Sun-Thu 17:00-02:00, Fri-Sat 17:00-04:00, Club Sat 23:00-04:00",,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
03146daf-3d4d-4a53-8c7c-ef63646b136a,Palmenhaus,"Gay-friendly brasserie, café and bar housed in a stunning Jugendstil glasshouse (former imperial greenhouse from 1822) in the Burggarten. Features 15-meter high ceilings, exotic plants, and Friday DJ sets.",https://www.palmenhaus.at,"Burggarten 1, 1010 Wien",Vienna,Austria,48.204,16.367,,"Mon-Fri 10:00-23:00, Sat-Sun 09:00-23:00, Kitchen until 21:30",,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
50c8bb9e-66c5-4ab1-85c2-d3d57541dcbb,Café Savoy,"Historic gay-friendly Viennese coffeehouse dating back to imperial times on Naschmarkt. Features Europe's largest mirrors outside Versailles, baroque decor, and pleasant outdoor terrace.",https://www.cafe-savoy.at,"Linke Wienzeile 36, 1060 Wien",Vienna,Austria,48.1985,16.36,,,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
9b092db9-6640-4d6f-b622-bf8ee4337154,Café Willendorf,"Queer community café and restaurant at the Türkis Rosa Lila Villa. Offers tasty cakes from Fett+Zucker, vegetarian-heavy lunch and dinner menus, cocktails, and famous Queen's Brunch with drag performances on Sundays.",https://www.cafe-willendorf.at,"Linke Wienzeile 102, 1060 Wien",Vienna,Austria,48.1956,16.3556,,Queen's Brunch on Sundays,,2025-12-09T10:00:00Z,2025-12-09T10:00:00Z
